instaID,lat,long,image
1139542012189407053_324603004,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12338988_1098484223519177_271648098_n.jpg
1139534837404098223_27757518,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/12353946_1664244710519591_560284170_n.jpg
1139526753270787821_144579250,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12356592_1732956020261127_1649235287_n.jpg
1139480746445849680_5019944,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362312_1169223703107373_849417615_n.jpg
1139472349490749685_814519,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/sh0.08/e35/12383292_1660582750873157_1032950679_n.jpg
1139463456608856501_2294533433,37.8101692,-122.2631836,https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/s640x640/sh0.08/e35/12356437_512809345548705_1781426528_n.jpg
1139451582686383269_1397964562,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e35/12345990_774103479360228_421098328_n.jpg
1139441830498118143_2311111001,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12292709_583655805117201_1401266150_n.jpg
1139432886987756943_463109964,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xft1/t51.2885-15/s640x640/sh0.08/e35/12298972_157428114615027_2137343211_n.jpg
1139431999083963197_14031847,37.805005327,-122.248945016,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/12346125_508735802641449_840521131_n.jpg
1139391511222802896_8505501,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/s640x640/sh0.08/e35/11262115_923985204359386_870837228_n.jpg
1139331767794559187_21773481,37.808996,-122.250511,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362556_1181792735181638_746961098_n.jpg
1139324954395813309_2324045008,37.8039,-122.2591,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12362515_1180303241998041_428050495_n.jpg
1139323029805868414_2324045008,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s640x640/sh0.08/e35/12353280_175918179425238_1192774319_n.jpg
1139322404770686309_2324045008,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/sh0.08/e35/12353826_179499685734123_941702052_n.jpg
1139261439811845627_207919670,37.8121643,-122.2476578,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12356596_1526088531016936_104507996_n.jpg
1139260782404814632_2261229464,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/12356426_862819143835749_719285113_n.jpg
1139247598154364136_319438404,37.798829582,-122.260630282,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/12345862_1725002361064928_1459032803_n.jpg
1139233949267544198_1469647577,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xat1/t50.2886-16/12368808_400644376800769_2078071168_n.mp4
1139209542392225843_406715391,37.8042107,-122.2614899,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/12362057_1680333278915595_1644167833_n.jpg
1138955187978145566_348925418,37.8101692,-122.2631836,https://scontent.cdninstagram.com/hphotos-xtf1/t51.2885-15/s640x640/sh0.08/e35/12298950_1519060568421818_1252872277_n.jpg
1138900848398313628_2322947825,37.8158989,-122.2454453,https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/sh0.08/e35/12362531_926701520748814_2035338995_n.jpg
1138898100625598078_1104332552,37.798829582,-122.260630282,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s640x640/sh0.08/e35/12298934_419027611634446_17089909_n.jpg
1138889616255559943_202734809,37.805536344,-122.254301678,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/12331518_1648302745437158_326667497_n.jpg
